Code	Description	Information
74RS	SIREN	<title>MV</title><country>UNITED KINGDOM</country><callsign>MYBT</callsign>
74RT	RUSSA TAIGN	<IMO>9169562</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MXPB9</callsign><pennant>K1102</pennant><notes>Chartered for cruises by FRS Marine Laboratory, Aberdeen</notes>
74RU	RUSSELL	<country>UNITED KINGDOM</country>
74RY	CORYSTES	<country>UNITED KINGDOM</country><callsign>GHRU</callsign><notes>Operated by CEFAS to 2004, from 2005-01-31 by DARD Nortern Ireland/CEFAS</notes>
74S0	Solstice	<IMO>8972728</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>ZNYO6</callsign><pennant>FR942</pennant><notes>Built in Spain, GT 166</notes>
74S1	SAINTES	<country>UNITED KINGDOM</country>
74S2	ST KITTS	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1946-01-21</commissioned><decommissioned>1957</decommissioned><pennant>D18</pennant><notes>Royal Navy Battle-class destroyer. Scrapped after decommissioning.</notes>
74S3	SOLEBAY	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1945-09-25</commissioned><decommissioned>1962-04</decommissioned><pennant>D70</pennant><notes>Royal Navy Battle-class destroyer. Scrapped after decommissioning.</notes>
74S4	ST BRIDES BAY	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1945-06</commissioned><decommissioned>1961-12-16</decommissioned><pennant>K600</pennant><notes>Royal Navy Bay-class anti-aircraft frigate. Scrapped after decommissioning.</notes>
74S5	SEOL MARA	<country>UNITED KINGDOM</country><callsign>MDGP3</callsign>
74S6	SEALARK	<country>UNITED KINGDOM</country>
74S7	SHUNA	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MKTY2</callsign><notes>Fishing vessel chartered by Aberdeen Marine Laboratory.</notes>
74S8	SIR JOHN MURRAY	<country>UNITED KINGDOM</country><callsign>MFPZ6</callsign>
74S9	SEA VIGIL	<country>UNITED KINGDOM</country><callsign>MNRH9</callsign><commissioned>1991</commissioned>
74SA	SALPA	<country>UNITED KINGDOM</country>
74SB	SABELLA	<country>UNITED KINGDOM</country>
74SC	SCOTIA	<country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><notes>Multiple hulls</notes>
74SD	SALISBURY	<country>UNITED KINGDOM</country>
74SE	SERPENT	<country>UNITED KINGDOM</country>
74SF	SHACKLETON	<country>UNITED KINGDOM</country>
74SG	ST GEORGE	<country>UNITED KINGDOM</country>
74SH	SCARBOROUGH	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1957-05-10</commissioned><decommissioned>1972</decommissioned><pennant>F63</pennant><notes>Royal Navy Whitby-class anti-submarine frigate. Scrapped after decommissioning after sale to Pakistan fell through.</notes>
74SI	SILVER SCOUT	<country>UNITED KINGDOM</country>
74SJ	SKIPJACK	<country>UNITED KINGDOM</country>
74SK	SMITH'S KNOLL	<country>UNITED KINGDOM</country>
74SL	SIR LANCELOT	<title>RFA</title><IMO>5413642</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1964-01-16</commissioned><decommissioned>1989-03-31</decommissioned><pennant>L3029</pennant><notes>Royal Fleet Auxillary Round Table-class landing ship logistic. Sold commercially and renamed Lowland Lancer after decommissioning.</notes>
74SM	ST MARGARETS	<country>UNITED KINGDOM</country>
74SN	STENA HISPANA	<country>UNITED KINGDOM</country>
74SO	SOBERTON	<country>UNITED KINGDOM</country>
74SP	SCORPION	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GUHZ</callsign><commissioned>1947-09-17</commissioned><decommissioned>1971-06-17</decommissioned><pennant>D64</pennant><notes>Royal Navy Weapon-class destroyer. Scrapped after decommissioning.</notes>
74SQ	STAR HONG KONG	<country>UNITED KINGDOM</country><callsign>ZCKP</callsign>
74SR	SARSIA	<country>UNITED KINGDOM</country><callsign>HO3952</callsign>
74SS	SEVEN STONES	<country>UNITED KINGDOM</country>
74ST	SCOTT	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>LNXZ3</callsign><commissioned>1939</commissioned><decommissioned>1965</decommissioned><notes>Build started as a minesweeper in 1937 but completed and commissioned in 1939 as a survey vessel.  Scrapped in 1965.</notes>
74SU	SULA	<country>UNITED KINGDOM</country>
74SV	SURVEYOR	<country>UNITED KINGDOM</country><callsign>WTES</callsign>
74SW	SWARTE BANK	<country>UNITED KINGDOM</country>
74SX	SWAN REFFER	<country>UNITED KINGDOM</country>
74SY	SYLVIA	<country>UNITED KINGDOM</country><callsign>HQVS</callsign>
74SZ	STAR DROTTANGER	<country>UNITED KINGDOM</country><callsign>ZCKU</callsign>
74T1	TOR CIMBRIA	<IMO>8413992</IMO><country>UNITED KINGDOM</country><commissioned>2000-12-30</commissioned><decommissioned>2006-01-11</decommissioned><previous_name>Dana Cimbria</previous_name>
74T2	TEMORA	<country>UNITED KINGDOM</country><callsign>MCFU4</callsign>
74T3	Allegiance	<IMO>8604826</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>GJGR</callsign><pennant>SH 90</pennant><notes>MMSI 234705000. WOD code 3669</notes>
74T4	Sarah Jane Too	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MFPR8</callsign><notes>Catamaran</notes>
74T5	Golden Emblem	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MCKD8</callsign><pennant>B908</pennant>
74T6	Thames Guardian	<title>MV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>2EYX7</callsign><commissioned>2011-11-01</commissioned><notes>Coastal survey vessel. MMSI No. 235089286</notes>
74T7	Virtuous	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>2DSR6</callsign><commissioned>2010</commissioned><pennant>FR-253</pennant><notes>Twin-rig prawn trawler. Designed in York by Ian Paton of S C McAllister and built at Whitby by Parkol Marine Engineering for Fraserburgh skippers Sandy West and Keith Buchan.</notes>
74TA	TEMPLE INN	<country>UNITED KINGDOM</country>
74TB	TENBY	<country>UNITED KINGDOM</country>
74TC	COLONEL TEMPLER	<country>UNITED KINGDOM</country><callsign>GTTA</callsign>
74TD	TMM SINALOA	<country>UNITED KINGDOM</country><callsign>ZCDJ6</callsign><notes>SEAS participating vessel</notes>
74TE	TELLINA	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>ELKE7</callsign><commissioned>1967</commissioned><decommissioned>1981</decommissioned><notes>Small coastal research vessel used by MAFF fisheries laboratories.</notes>
74TF	TRAFALGAR	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1945-07-23</commissioned><decommissioned>1963</decommissioned><pennant>D77</pennant><notes>Royal Navy Battle-class destroyer.  Scrapped after decommissioning.</notes>
74TG	TMM JALISCO	<country>UNITED KINGDOM</country><callsign>ZCJD7</callsign><notes>SEAS participating vessel</notes>
74TH	Safmarine Meru	<IMO>9311696</IMO><country>UNITED KINGDOM</country><platformclass>32 Vessel of opportunity</platformclass><callsign>MNDC9</callsign><commissioned>2006</commissioned><decommissioned>2012-10-29</decommissioned><notes>In VOS program.</notes>
74TI	TINTAGEL CASTLE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1944-04-07</commissioned><decommissioned>1956</decommissioned><pennant>K399</pennant><notes>Royal Navy Castle-class corvette. Scrapped after decommissioning.</notes>
74TJ	Sperus	<IMO>5149813</IMO><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><commissioned>1974</commissioned><decommissioned>1983</decommissioned><notes>Institute of Geological Sciences marine geology research vessel</notes><previous_name>Hesperus</previous_name>
74TK	Sugar Exporter	<title>MV</title><IMO>5343249</IMO><country>UNITED KINGDOM</country><platformclass>32 Vessel of opportunity</platformclass><commissioned>1966</commissioned><decommissioned>1976</decommissioned><notes>Met Office VOS collecting radiosonde data in the 1970s whilst operating as a Tate and Lyle sugar bulk carrier.</notes><previous_name>ATHELPRINCESS</previous_name>
74TL	TUMULT	<country>UNITED KINGDOM</country>
74TM	TERMAGANT	<country>UNITED KINGDOM</country>
74TN	TERRA NOVA	<country>UNITED KINGDOM</country>
74TO	TORQUAY	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1956-05-10</commissioned><decommissioned>1985-03-23</decommissioned><pennant>F43</pennant><notes>Royal Navy Whitby-class anti-submarine frigate. Scrapped after decommissioning.</notes>
74TP	HILDASAY	<IMO>9119426</IMO><country>UNITED KINGDOM</country><platformclass>30 Ship</platformclass><callsign>2EPP6</callsign><commissioned>2010-02-10</commissioned><notes>Cargo Ship. Built as the Leili, then became Port Everglades Express in 2002, RR Shield in 2005, Shield in 2007.</notes><previous_name>SHIELD</previous_name>
74TQ	Fisher Lassie	<title>FV</title><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><pennant>CK 91</pennant><notes>Trawler used by CEFAS for Young Fish Surveys.</notes>
74TR	TRUE LOVE	<country>UNITED KINGDOM</country>
74TS	T.S. ASTRID	<country>UNITED KINGDOM</country><callsign>MKUE3</callsign><notes>1995-01-01</notes>
74TT	TRITON	<title>RV</title><IMO>4906551</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>2000</commissioned><decommissioned>2005</decommissioned><notes>Experimental trimaran used for operational trials by the Defence Evaluation and Research Agengy.  No known oceanographic activity during this period.  Sold to Gardline Surveys in 2005.</notes>
74TU	TROUBRIDGE	<country>UNITED KINGDOM</country>
74TV	T.A. VOYAGER	<country>UNITED KINGDOM</country>
74TW	Sunbeam	<title>MFV</title><IMO>9147318</IMO><country>UNITED KINGDOM</country><callsign>MWAT6</callsign><commissioned>1997</commissioned><decommissioned>2008-04-25</decommissioned><pennant>LK335</pennant><notes>Chartered by FRS Aberdeen. In 2007 went to Faroe Islands flag. As of Oct. 2, 2008 renamed Flame Thorn under South African flag</notes>
74TX	T.A. EXPLORER	<country>UNITED KINGDOM</country><callsign>ZDAZ6</callsign>
74TY	TYRIAN	<country>UNITED KINGDOM</country>
74TZ	CHRIS ANDRA	<IMO>9361794</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MLLX8</callsign><pennant>FR228</pennant><notes>Built in Norway, Port Fraserburgh</notes>
74UA	URSA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1944-03</commissioned><decommissioned>1967</decommissioned><pennant>R22/F200</pennant><notes>Royal Navy U-class destroyer. Converted to a type 15 anti-submarine frigate in 1952-54 and changed pennant from R22 to F200. Laid up from 1957 to 1961. Scrapped after decommissioning.</notes>
74UC	URCHIN	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1943-03-08</commissioned><decommissioned>1967-08</decommissioned><pennant>R99/D199/F196</pennant><notes>Royal Navy U-class destroyer. Converted to a type 15 anti-submarine frigate and pennant changed to F196 during the 1950s.  Scrapped after decommissioning.</notes>
74UD	UNDINE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1943-12-23</commissioned><decommissioned>1965</decommissioned><pennant>R42/D141/F141</pennant><notes>Royal Navy U-class destroyer. Converted to a Type 15 Frigate 1952-54 with the pennant number F141. Scrapped after decommissioning.</notes>
74UG	SEAGULL	<title>MFV</title><IMO>9112545</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MVBO2</callsign><pennant>BF74</pennant><notes>Built in Macduff, GT 349</notes>
74UL	ULSTER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1943-06-30</commissioned><decommissioned>1978</decommissioned><pennant>R83</pennant><notes>WOD 5965. Data from 1957-1963 sent in by United Kingdom Hydrographic Office</notes>
74UM	CUMULUS	<title>MV</title><country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><callsign>GACA</callsign><commissioned>1985-11</commissioned><decommissioned>1996</decommissioned><notes>Dutch Ocean Weather Ship operated by KNMI from 1963 and then transferred to the UK Meteorological Office in 1985.</notes>
74UN	UNDAUNTED	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1944-03-03</commissioned><decommissioned>1974</decommissioned><pennant>R53</pennant><notes>Royal Navy U-class destroyer. Sunk as a target after decommissioning.</notes>
74UR	URANIA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1944-01-18</commissioned><decommissioned>1971</decommissioned><pennant>R05</pennant><notes>Her pennant number changed from R05 to F08. Royal Navy U-class destroyer. Scrapped after decommissioning.</notes>
74UT	UNITY	<title>MFV</title><IMO>8906949</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>VSPQ3</callsign><commissioned>2001-01-02</commissioned><pennant>FR165</pennant><notes>Built in Norway, , GT 814, Previous names Ocean Way (UK) until 1997-07-31 and Torbas (Norway) from 1997-08-01 to 2001-01-01. CSRs in 2003 and 2007.</notes><previous_name>Torbas</previous_name>
74UY	ULYSSES	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1943-12-23</commissioned><decommissioned>1970</decommissioned><pennant>R69</pennant><notes>Royal Navy U-class destroyer.  Converted into a Type 15 anti-submarine frigate in the 1950s and pennant changed to F17. Scrapped after decommissioning.</notes>
74VA	VARNE	<country>UNITED KINGDOM</country>
74VB	BRITISH VIKING	<country>UNITED KINGDOM</country><platformclass>30 Ship</platformclass><callsign>GHBD</callsign><commissioned>1987-08</commissioned><decommissioned>1987-12</decommissioned><notes>Survey/support vessel chartered by Aberdeen Marine Laboratory for a number of cruises in 1987.</notes>
74VC	VIGILANCE	<country>UNITED KINGDOM</country><callsign>MLCA5</callsign><notes>Environment Agency, National Marine Service. In service as at 2009-08.</notes>
74VD	Booker Vanguard	<IMO>5419098</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1963</commissioned><decommissioned>1979-10-01</decommissioned><notes>Cargo vessel built as UK vessel Booker Vanguard, re-registred in Greece 1979-10-01 and renamed Katy 1979-11-25 and then Franky 13 Feb 1981-02-13. Vessel now dead. Used by SAHFOS for CPR project.</notes>
74VE	Booker Viking	<IMO>6713922</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1967</commissioned><decommissioned>1980-10-29</decommissioned><notes>Cargo vessel built as UK vessel Booker Viking, re-registered in Qatar 1980-10-29 and renamed Al Amirah. Vessel now dead. Used by SAHFOS for CPR project.</notes>
74VF	Boy John	<title>MFV</title><IMO>8953021</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MWRD6</callsign><commissioned>1996</commissioned><notes>Chartered by FRS. Active as at 2007-10</notes>
74VG	VIGILANT	<country>UNITED KINGDOM</country>
74VH	Commodore Enterprise	<IMO>7631042</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1977</commissioned><decommissioned>1987-09-08</decommissioned><notes>UK General cargo ship, used as ship of opportunity to collect CPR data for SAHFOS. Sold an re-registered in Norway as Scott Survivor 1987-09-08. Subsequently re-registered and renamed numerous times. As at 2007-10 she still is active as the vessel Wilson Fjord registered in Barbados</notes>
74VI	VIDAL	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1954</commissioned><decommissioned>1971</decommissioned><notes>Survey Ship of the Royal Navy, broken up in 1976.</notes>
74VJ	Booker Challenge	<IMO>7221354</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1979-09-15</commissioned><decommissioned>1983-05-24</decommissioned><notes>General cargo ship used as ship of opportunity to collect CPR data for SAHFOS. Built as Sol Michel (Norway), renamed Lloyd Copenhague 1975-09-13 then reverted to Sol Michel 1979-11-18 until renamed Eigigu and registered in Nauru 1983-05-24. Subsequently re-registered and renamed numerous times. Broken as the vessel Sree Ji I (St Vincent and Grenadines) 1997-12-03 in India.</notes><previous_name>Sol Michel, Lloyd Copenhague, Sol Michel</previous_name>
74VK	MINISTRY OF DEFENSE CHARTERED VESSELS	<country>UNITED KINGDOM</country>
74VL	VALOROUS	<country>UNITED KINGDOM</country>
74VM	Gardline Locater	<country>UNITED KINGDOM</country>
74VN	Golden West	<title>MFV</title><IMO>8717506</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MKFD4</callsign><commissioned>1988</commissioned><pennant>FR363</pennant><notes>Chartered by FRS. Active as at 2007-10</notes>
74VO	VIGO	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1946-12-09</commissioned><decommissioned>1959-10-01</decommissioned><pennant>D231</pennant><notes>Royal Navy Battle-class destroyer. Pennant originally R31. Scrapped after decommissioning.</notes>
74VP	Commodore Goodwill	<IMO>8414661</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1989-11-10</commissioned><decommissioned>1995-06-06</decommissioned><notes>General cargo ship used as ship of opportunity to collect CPR data for SAHFOS. Built as Akak Cedar (Cyprus), renamed Commodore Goodwill 1989-11-10 and reregistered in the UK. Re-registered in Antigua and Barbuda and renamed HMS Goodwill 1995-06-06 then HMS Navigator 2004-03-15. Subsequently re-registered in Norway (int Reg). Active as at 2007-10.</notes>
74VQ	Constant Friend	<title>MFV</title><IMO>7342665</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><commissioned>1975</commissioned><decommissioned>2003-05-30</decommissioned><pennant>PD83</pennant><notes>Chartered by FRS. Broken in May 2003 in Denmark</notes>
74VR	VIRAGO	<country>UNITED KINGDOM</country>
74VS	Dart Atlantica	<IMO>7718656</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1981-06-17</commissioned><decommissioned>1987-07-29</decommissioned><notes>General cargo ship used to collect CPR data for SAHFOS. Container ship built in 1979 as Seatrain Chesapeak (Liberian), renamed Seapac Chesapeak (1981-01-31) and then Dart Atlantica (17 Jun 1981). Re-registered in the UK between 8 Dec 1983 to 30 Oct 1991 and then subsequently re-registered (Isle of Man then Bermuda). Renamed Singapore Senator 1987-07-30 and subsequently renamed 4 times. As at Oct 2007 she is the Bermuda registered vessel Victory</notes><previous_name>Seapac Chesapeak</previous_name>
74VT	Seatrain Saratoga	<IMO>7816824</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1979-09-22</commissioned><decommissioned>1980-10-23</decommissioned><notes>Container carrier used as ship of opportunity to collect CPR data for SAHFOS. Built as the UK vessel Seatrain Saratoga. Renamed TFL Jefferson 1980-10-23. Re-registered in Singapore 1981-02-14. Subsequently re-registered and renamed on numerous occasions. Active as at 2007-10 as the Bermuda registered vessel Glory.</notes>
74VU	Sugar Producer	<IMO>6810938</IMO><country>UNITED KINGDOM</country><platformclass>32 Vessel of opportunity</platformclass><commissioned>1975-09-15</commissioned><decommissioned>1978-12-15</decommissioned><notes>Bulker vessel. Registered by Lloyds as UK vessel Sugar Producer 1975-09-15. Re-registered in Greece and renamed Capa Avanti 1979-10-17. Subsequently re-registered and renamed on numerous occasions. Broken in Taiwan on 1987-11-06 as the vessel Delta Port Said (Egypt).</notes>
74VV	ROYAL MARINE AUXILARY VESSELS	<country>UNITED KINGDOM</country>
74VW	Challenge II	<title>MFV</title><IMO>9119713</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MVIX5</callsign><commissioned>1995</commissioned><notes>UK fishing vessel chartered by FRS. Active as at 2007-10</notes>
74VX	Destro	<IMO>7024110</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1975-11-21</commissioned><decommissioned>1978-12-03</decommissioned><notes>Ro-ro vessel used as ship of opportunity to collect CPR data for SAHFOS. Built as the UK vessel Destro. Renamed Jolly Azzurro 1978-12-11. Re-registered in Italy 1982-02-28 as Jolly Celeste. Subsequently re-registered and renamed, broken in India 2000-03-23 as the Bulgarian registered vessel Presalav.</notes>
74VY	City of Plymouth	<IMO>7702542</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1978-11-18</commissioned><decommissioned>1993-05-06</decommissioned><notes>Container vessel used as ship of opportunity to collect CPR data for SAHFOS. Built as the UK registered City of Plymouth. Renamed Cervantes 1993-03-07 and re-registered in the Isle of Man. She was subsequently renamed City of Lisbon (1996-05-09) then Pacheco (1998-04-08) before re-registering in Tuvalu (2007-10-02) as Pacheco 1. Active as at 2007-10.</notes>
74VZ	City of Lisbon	<IMO>7702542</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1996-05-09</commissioned><decommissioned>1998-04-07</decommissioned><notes>Container vessel used as ship of opportunity to collect CPR data for SAHFOS. Built as the UK registered City of Plymouth. Renamed Cervantes 1993-05-07 and re-registered in the Isle of Man. She was subsequently renamed City of Lisbon (1996-05-09) then Pacheco (1998-04-08) before re-registering in Tuvalu (2007-10-02) as Pacheco 1. Active as at 2007-10.</notes><previous_name>Cervantes</previous_name>
74W1	Endeavour III	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><pennant>BF 515</pennant><notes>Trawler regularly charteed by Aberdeen Marine Laboratory. Sold in Iceland in 2008 and replaced by Endeavour IV in 2009 (which also carries the pennant BF515).</notes>
74W2	Tor Dania	<IMO>7624051</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><callsign>MSTY3</callsign><commissioned>2007-09-19</commissioned><notes>Built as 169.25 meters. Rebuilt in 1995. Route Cuxhaven - Immingham. Previous names include VILLE DE DUNKERQUE, FOSS DUNKERQUE, G.AND C.EXPRESS, RAILO, DANA HAFNIA, MAERSK ESSEX, TOR DANIA, and BRIT DANIA.</notes><previous_name>Brit Dania</previous_name>
74W3	Admiral Beaufort	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1977-05-25</commissioned><decommissioned>1981</decommissioned><notes>Castle-class frigate HMS Pevensey Castle converted to weather ship Weather Monitor in 1961 then renamed Admiral Beaufort after a refit in 1977. Withdrawn in 1981 and scrapped in 1982.</notes><previous_name>Weather Monitor</previous_name>
74W4	Admiral Fitzroy	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1977-03-14</commissioned><decommissioned>1981</decommissioned><notes>Castle-class destroyer HMS Amberley Castle converted to weather ship Weather Adviser in 1960 then renamed Admiral Fitzroy after a refit in 1977. Withdrawn in 1981 and scrapped in 1982.</notes><previous_name>Weather Adviser</previous_name>
74W5	Silver Star	<title>FV</title><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><commissioned>1979</commissioned><decommissioned>1990</decommissioned><notes>Conwy fishing vessel frequently chartered by MAFF (now known as CEFAS) Lowestoft and Conwy laboratories for fishery research cruises in the Irish Sea between 1979 and 1990. Skippered by Glyn Craven.</notes>
74WA	WEATHER ADVISER	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><callsign>MDBE</callsign><commissioned>1960-10-02</commissioned><decommissioned>1976</decommissioned><notes>previous_pennant K386. Ocean weather ship occupying Station INDIA. Was HMS Amberley Castle K386 (castle-class corvette) and became Weather Adviser in 1960.  Renamed Admiral Fitzroy in 1976 and scrapped in 1982.</notes><previous_name>HMS Amberley Castle</previous_name>
74WB	WELLINGTON EXPRESS	<country>UNITED KINGDOM</country><callsign>MWSD3</callsign>
74WC	WEATHER RECORDER	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1947</commissioned><decommissioned>1961</decommissioned><notes>Flower-class corvette converted to a weather ship in 1947. Scrapped after decommissioning.</notes><previous_name>HMS Genista</previous_name>
74WD	WOODLARK	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1964</commissioned><decommissioned>1986</decommissioned><notes>Royal Navy survey vessel 1964 (previously Ham-class minesweeper HMS Yaxham). Used as a target in 1986.</notes><previous_name>Yaxham</previous_name>
74WE	WEATHER EXPLORER	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1947</commissioned><decommissioned>1958</decommissioned><notes>Flower-class corvette converted to a weather ship in 1946-47. Became a Greek merchant ship named Epos in 1958.</notes><previous_name>HMS Thyme</previous_name>
74WF	WATERWITCH	<country>UNITED KINGDOM</country>
74WG	HMS WILD GOOSE	<country>UNITED KINGDOM</country><notes>1954</notes>
74WH	SIR WILLIAM HARDY	<IMO>5329786</IMO><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><commissioned>1955</commissioned><decommissioned>1977</decommissioned><notes>MAFF fisheries research vessel built as Sir William Hardy. Offered for sale in 1977 and bought by Greenpeace. Refitted and renamed Rainbow Warrior in 1978. Sunk on 10 July 1985 in New Zealand by French intelligence agents.</notes>
74WI	WHIRLWIND	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1944-07</commissioned><decommissioned>1966</decommissioned><pennant>R87</pennant>
74WJ	Aora	<title>RV</title><IMO>9261463</IMO><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>VQNK9</callsign><commissioned>2003</commissioned>
74WK	WAKEFUL	<country>UNITED KINGDOM</country>
74WL	E. WILSHAW	<country>UNITED KINGDOM</country>
74WM	WEATHER MONITOR	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1961-05-12</commissioned><decommissioned>1976</decommissioned><notes>Royal Navy Castle-class frigate converted into a weather ship in 1960-61 and renamed Weather Monitor.  Rebuilt again in 1976-77 and renamed Admiral Beaufort.</notes><previous_name>HMS Pevensey Castle</previous_name>
74WN	WATER GUARDIAN	<title>R/V</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>MPUJ4</callsign><commissioned>1992</commissioned><notes>Environment Agency, National Marine Service vessel used for coastal water quality survey work, in service as of 2011-04.</notes>
74WO	WEATHER OBSERVER	<country>UNITED KINGDOM</country><platformclass>34 Vessel at fixed position - Includes light vessels and weather ships</platformclass><commissioned>1947-07-31</commissioned><decommissioned>1961</decommissioned><notes>Flower-class corvette converted into a weather ship in 1947.  Scrapped after decommissioning.</notes><previous_name>HMS Marguerite</previous_name>
74WP	HMS CORNWALL	<country>UNITED KINGDOM</country>
74WQ	Sunrise	<title>FV</title><IMO>8324555</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>GDXH</callsign><pennant>FR359</pennant><notes>Pair seiner that has been chartered by Aberdeen Marine Laboratory.</notes>
